房型,入住时间,入住类型,评分,评论,评论时间
豪华城景大床房,于2022年8月入住,商务出差,5,很好，以后还来呢,2022年8月11日 发布于河北
豪华城景双床房,于2021年5月入住,情侣出游,4,和朋友一起住的，比较满意，刚到青岛第一天就住了这么满意的酒店，跟后面的酒店有了很明显的对比,2021年5月11日发布
豪华城景大床房,于2021年7月入住,情侣出游,5,地理位置好，离海边很近，离石老人露天浴场走路大概10分钟左右就能到。,2021年11月19日发布
豪华城景双床房,于2022年6月入住,朋友出游,5,酒店整洁 服务okk,2022年8月6日 发布于河北
精品城景大床房,于2022年2月入住,商务出差,5,地理位置好，交通方便，风景好。,2022年2月17日发布
精品海景大床房,于2020年11月入住,商务出差,4.7,真正的海景房，11月份也是淡季，房价优惠，房间干净，设施齐全，周边配套也很成熟，楼下就有星巴克，还有很多不错的饭馆。下次出差还会选择。就是高层电梯声音比较吵，跟在敲鼓似的。,2020年11月12日发布
精品城景大床房,于2022年9月入住,商务出差,5,很好，服务热情,2022年9月9日 发布于北京
豪华城景双床房,于2021年7月入住,朋友出游,5,房型很好，风景也贼棒，位置也很好，洗衣机冰箱微波炉都有，非常不错,2021年8月1日发布
豪华海景大床房,于2022年6月入住,商务出差,5,地理环境优，服务好,2022年6月28日发布
豪华城景双床房,于2021年6月入住,商务出差,4.2,没有选早餐，缺点是整个楼都是公寓，感觉有一点良莠不齐。电梯还是挺难等的。,2021年6月28日发布
豪华海景双床房,于2021年7月入住,家庭亲子,3.7,可以看到海真的，卫生还OK吧。细节不好（卫生间的帘子发霉有点霉味,2021年7月31日发布
豪华城景大床房,于2022年6月入住,情侣出游,4,比较满意，没有冰箱,2022年7月8日发布
豪华海景大床房,于2022年6月入住,朋友出游,4,酒店不错性价比很高,2022年6月25日发布
豪华海景双床房,于2022年8月入住,家庭亲子,5,非常满意的入住,2022年8月29日 发布于山东
精品城景大床房,于2021年11月入住,朋友出游,5,酒店干净整洁舒适，真的特别好，第一次来青岛,2021年11月3日发布
精品城景大床房,于2022年3月入住,商务出差,5,很好，价格经济，位置方便,2022年4月10日发布
精品城景大床房,于2022年6月入住,情侣出游,5,好好好好好好好好好,2022年6月16日发布
豪华城景双床房,于2021年12月入住,朋友出游,4,🔔服务：很热情。 🚗 交通：比较方便,2021年12月14日发布
豪华城景双床房,于2022年6月入住,朋友出游,5,很漂亮，很值得入住,2022年6月15日发布
豪华海景大床房,于2021年3月入住,朋友出游,5,酒店卫生很干净 前台小姐姐很友好。楼下就是便利店 很方便 离海很近 十几分钟就到 旅游出差推荐,2021年3月30日发布
豪华海景大床房,于2022年6月入住,商务出差,5,价格便宜，位置不错,2022年8月26日 发布于北京
豪华城景双床房,于2022年2月入住,家庭亲子,4.7,交通便利，购物方便，景点多,2022年2月27日发布
精品城景大床房,于2022年11月入住,独自旅行,5,环境很不错,2022年11月6日 发布于山东
精品城景大床房,于2021年9月入住,商务出差,5,住过的公寓式酒店性价比最好的，干净整洁，非常超值,2021年10月28日发布
豪华城景双床房,于2022年6月入住,朋友出游,5,前台态度非常好👍,2022年6月28日发布
豪华城景双床房,于2021年2月入住,家庭亲子,3.2,要吐槽一下停车费，下午四点入住的第二天上午大约9点多离开停车费交了50多～住酒店交停车费还真是稀罕！,2021年3月1日发布
豪华城景大床房,于2020年6月入住,商务出差,5,非常舒服便捷的酒店公寓，酒店位置也很方便，离石老人海滨浴场，金狮广场都很近。,2020年6月6日发布
精品海景大床房,于2020年7月入住,独自旅行,5,位置很好，在楼上能看到浴场,2020年7月26日发布
豪华城景双床房,于2021年9月入住,家庭亲子,4,房间大，厕所门坏了，飘窗垫脏，把垫拿走更好。,2021年10月1日发布
豪华海景大床房,于2022年6月入住,朋友出游,5,前台服务态度很好,2022年6月27日发布
豪华城景大床房,于2022年7月入住,商务出差,5,非常不错，点赞,2022年7月29日 发布于山东
精品城景大床房,于2021年7月入住,家庭亲子,5,交通便利，服务周到，前台很热情，免费升了房型👍🏻👍🏻👍🏻,2021年8月6日发布
精品城景大床房,于2020年9月入住,商务出差,4.2,位置很好，就在星光里，过条马路就是丽达购物广场。吃饭的地方很多。但是房间安排在了前台房间的隔壁，人来人往比较吵。卫生间浴帘很脏。飘窗上并没有照片里显示的小茶几和坐垫。服务很好。,2020年9月29日发布
豪华海景大床房,于2022年6月入住,商务出差,5,非常好，值得推荐,2022年6月20日发布
豪华城景双床房,于2020年8月入住,家庭亲子,4,位置比较好，离石老人沙滩走路10分钟左右，楼下是个商业街有超市吃饭的，还是比较方便的，就是办理入住要上28楼办理，订房间时选择携程会员升级房型，也没有升级，有停车场，晚上免费停车，白天是收费的4块一小时,2020年8月20日发布
精品城景大床房,于2021年8月入住,独自旅行,5,设施非常好，有洗衣机微波炉啥都有，最主要是离地铁站近,2021年8月30日发布
豪华城景大床房,于2022年4月入住,独自旅行,5,非常满意，非常感谢。,2022年4月23日发布
精品城景大床房,于2021年11月入住,情侣出游,5,12-14号的前台小姐姐人很好 推荐,2021年11月14日发布
豪华海景大床房,于2021年10月入住,情侣出游,5,海景很好看 位置不错 整顿楼有很多家公寓,2021年10月6日发布
豪华城景大床房,于2022年1月入住,情侣出游,5,卫生不错，前台小姐姐很可爱！,2022年1月19日发布
豪华海景双床房,于2022年10月入住,商务出差,5,好好更美好,2022年11月6日 发布于上海
精品城景大床房,于2021年12月入住,商务出差,4,还不错的体验，酒店的服务也很好,2022年1月16日发布
精品海景大床房,于2020年8月入住,商务出差,5,协信中心（好像是这名）几乎全是酒店，大家户型都一样，吃早饭的地方估计也一样，就是内部的装饰会略有不同，但总体来说只要有较多房间的酒店，质量就有保证，所以大家可以择优而选。 交通便利，楼下购物、餐饮都很方便，高层的无敌海景非常棒，离着啤酒节崂山会场一街之隔。,2020年8月24日发布
豪华海景大床房,于2021年11月入住,商务出差,5,热情周到，宾至如归，大家都来住呀！,2021年11月22日发布
精品海景大床房,于2020年12月入住,情侣出游,5,酒店性价比很高 前台服务很好 房间面积大 楼层也高 建议大家订海景 早晨能看到石老人浴场全貌 景色非常美 下次还会去,2020年12月27日发布
精品城景大床房,于2022年3月入住,商务出差,5,环境很好，房间条件挺好,2022年3月7日发布
豪华城景双床房,于2022年5月入住,其他,5,很满意，非常不错,2022年5月30日发布
豪华海景大床房,于2022年2月入住,商务出差,5,酒店干净整洁，设施齐全,2022年3月12日发布
豪华城景双床房,于2021年11月入住,商务出差,5,酒店位置很好，处于青岛金融中心。,2021年11月20日发布
精品城景大床房,于2021年10月入住,商务出差,5,很不错，店员帮忙升级海景房，很舒服。,2021年10月18日发布
豪华城景大床房,于2022年1月入住,朋友出游,5,挺好的 比较干净 性价比高,2022年1月13日发布
豪华城景双床房,于2022年2月入住,商务出差,5,非常好，下次还会光顾！,2022年4月2日发布
豪华海景双床房,于2022年8月入住,朋友出游,5,服务热情周到,2022年8月4日 发布于山东
豪华海景双床房,于2020年12月入住,商务出差,5,屋子挺大的，装修的也很精致，各种设备一应俱全，吹风机洗衣机微波炉电磁炉等等要啥有啥，前台服务也很好，真不错👍🏻,2020年12月29日发布
精品城景大床房,于2022年8月入住,独自旅行,4.5,出行方便快捷,2022年10月24日 发布于天津
精品城景大床房,于2020年7月入住,家庭亲子,5,酒店非常好,2020年7月10日发布
豪华城景双床房,于2021年9月入住,情侣出游,4,房间宽敞，设施齐全，海景漂亮，环境干净,2021年10月1日发布
豪华海景大床房,于2021年12月入住,家庭亲子,5,外卖不能送上楼 其他还算方便,2022年1月13日发布
精品城景大床房,于2021年1月入住,商务出差,5,挺好的啊，还不错挺好的啊，还不错。挺好的啊，还不错挺好的啊，还不错。挺好的啊，还不错挺好的啊，还不错。,2021年1月6日发布
精品城景大床房,于2021年5月入住,商务出差,5,酒店环境不错，价格实惠，位置也不错，附近商场景点都有，非常方便。,2021年6月17日发布
豪华城景大床房,于2021年1月入住,商务出差,4,环境还是不错的，就是没有免费停车场。 到店需要先烧洗澡水，要不晚上没水洗澡了。 其他方面很不错，推荐,2021年1月8日发布
精品城景大床房,于2022年4月入住,情侣出游,5,夜景不错，值得推荐,2022年4月7日发布
精品城景大床房,于2020年1月入住,商务出差,5,房间干净，给我一大老爷们整了一个海绵宝宝和派大星，挺温馨的海景房，家具家电配置很齐，很不错，价格还不贵，下面的早餐店就餐很方便，便宜实惠，美中不足也得提一下：门底透风，隔音也差点事，走廊里充斥着情侣发出的声音，太清楚了，从这点来讲，不大适合孩子,2020年1月6日发布
精品海景大床房,于2020年7月入住,商务出差,5,时隔一年来住同一个酒店，感觉还是那么好哇~！超级无敌海景就不用说了，难得的是一年后再来住，酒店房间的干净、舒适度依旧，并没有因时间过去、或者疫情影响而有懈惰或降低，客房人员每天打扫的很干净，非常好~！！,2020年7月13日发布
精品城景大床房,于2020年1月入住,其他,5,因为疫情原因延迟开班，所以在酒店一直居住，因为山景稍冷，给免费升级海景，温馨干净，疫情防护也做得很好，景色很美楼下就是星光里，奈何疫情原因，都没有开门，总之很不错的。,2020年3月8日发布
精品城景大床房,于2022年6月入住,商务出差,5,出差一直住这里,2022年6月10日发布
精品城景大床房,于2021年3月入住,商务出差,3.5,协信楼的卫生还需要加强，屋里的边边角落需要打扫干净，地面需要扫，头发等毛发等等,2021年4月17日发布
精品城景大床房,于2022年3月入住,朋友出游,5,酒店服务好 卫生干净,2022年3月29日发布
豪华城景双床房,于2020年12月入住,商务出差,5,超喜欢的房间设施，跟外部环境，房间打扫的非常干净，去的比较早正好看到大姐在那打扫房间，非常认真仔细，而且很多东西都是消毒的，用起来非常放心，在说下服务，前台小姐姐非常热情，有问题很快的就给解决了，我经常出差住酒店，本人感觉事挺多的哈哈，但是这家酒店真的给我留下非常深的印象，一个字就是好呀，而且免费提供过弯可以做饭，这次事出差没办法体验，等下次去带家人好好的体验体验,2020年12月26日发布
豪华海景双床房,于2022年8月入住,家庭亲子,4.5,推拉门坏了,2022年9月13日 发布于陕西
豪华海景大床房,于2021年4月入住,其他,5,房间很大，距海边和地铁站大概都是10分钟，楼下就是711，很方便！！,2021年4月13日发布
精品城景大床房,于2020年10月入住,商务出差,5,一个经常出差的人来说，找个合适的酒店太重要了，一不小心被我找到拉。蓝朵真的没的说，服务，位置，设施，景色全部都满分，真的非常喜欢这。,2020年10月22日发布
豪华海景大床房,于2021年11月入住,商务出差,5,环境挺好，服务很好，房间很大,2021年11月28日发布
精品城景大床房,于2020年3月入住,独自旅行,5,周围环境在商务区里，周边商场多，餐饮应该也比较多，离海边几百米，溜着玩就到了，楼层挺高，景色很好,2020年3月13日发布
豪华海景大床房,于2021年4月入住,其他,5,位置好，离地铁离海边也不是很远，吃饭方便。环境也不错，下次来还住这,2021年4月13日发布
精品城景大床房,于2022年7月入住,商务出差,5,很好 一直住,2022年7月10日发布
精品海景大床房,于2020年4月入住,商务出差,5,酒店不错，干净卫生，还能看海景，各种家庭设施都有！,2020年4月25日发布
精品城景大床房,于2022年2月入住,其他,5,环境不错，房间很安静,2022年2月27日发布
舒适园景大床房,于2022年12月入住,商务出差,5,酒店位置醒目，房间宽敞明亮、干净整洁、隔音效果好，前台服务态度细致周到，非常棒，望继续保持，下次来青岛还会继续入住！,2022年12月17日 发布于上海
雅致大床房,于2022年10月入住,其他,4,设施：设备都比较的齐全，可以的 卫生：卫生还可以的，希望有专门放毛巾的木篮子🧺 环境：晚上开窗比较吵，靠着马路，关窗就好多了，隔音一般吧 服务：还可以的，正常办理入住，比较顺利,2022年11月1日 发布于山东
舒适园景大床房,于2022年9月入住,其他,5,好像是跟着万象汇新开业的，环境特别好，这个价格能住到这种环境的性价比真是特别高了，公寓式的，有洗衣机，楼下就是万象汇，吃饭逛街都很方便，下次还会来,2022年10月2日 发布于山东
舒适园景大床房,于2022年9月入住,朋友出游,5,酒店地理位置蛮好的，跟闺蜜来这边旅游还是不错的，附近就是商场 楼下还有24小时便利店，对于女孩子来说住着还是蛮安全方便的，离地铁也近,2022年9月22日 发布于山东
雅致大床房,于2022年7月入住,独自旅行,1,我自认为对酒店的挑剔程度非常低 历史住过的房也都是给的好评 但这个酒店我是真的很失望。首先平时入住别的酒店都会给我自动升房，而这家我甚至兑换了升级权益还没得到升房，我不计较这个。后来因为行程问题需要续住，我临出门和收拾房间大姐交代了需要更换毛巾和床品，回来以后一被单头发，毛巾上也有污渍一看就是没换，我和前台反应了前台说太晚了大姐下班了我也就没再说啥，后来回来不是没牙刷就是没毛巾两双一次性拖鞋穿了四五天都没有再送新的，今天回来直接没有饮用水，真的受不了了，人的忍耐都是有限度的。哦对了 洗手间铺的地垫子也一直旧的不收新的不给 p2是我刚回来洗手间的样子 真的看不出收拾的痕迹呢。房间味道很大，类似家里宠物房的猫咪一周没有铲屎的味道。,2022年7月31日 发布于山东
雅致大床房,于2022年7月入住,独自旅行,5,房间蛮干净，配备了洗衣机、沙发、电磁炉属实好评。但可能由于是刚装修好的原因，刚进门会有一股味道，抽屉也因为长久密闭导致一拉开味道很大。所以进门先开换气扇、窗户透气，抽屉也别开。酒店周边配套设施还处于建设中，稍微有些不便利。酒店不配备早餐哦。酒店等级介于经济型与舒适型之间。除此之外，没啥毛病吧，还行。,2022年7月27日 发布于河北
雅致大床房,于2022年10月入住,情侣出游,5,很卫生 很舒服 非常适合情侣入住 酒店位置极佳 亲自入住也可 卫生间很干净 理核酸点很近 空间很大 性价比很高,2022年10月2日 发布于山东
舒适园景大床房,于2022年12月入住,商务出差,5,环境超级好，服务员非常热情，而且有免费停车位。,2022年12月2日 发布于江苏
舒适园景大床房,于2022年12月入住,商务出差,5,干净整洁，服务态度良好，知道推荐,2022年12月2日 发布于山东
商务大床房,于2022年9月入住,商务出差,5,挺好的，采光好，香香的…… 下次过来的的时候会考虑再来的 晚安安静，隔音应该好，没有听到其他声音。前台小哥服务态度不错👍,2022年9月9日 发布于湖北
舒适园景大床房,于2022年11月入住,其他,3.5,零下三度，五级风，门卡失效，前台没人。,2022年11月29日 发布于山东
商务大床房,于2022年7月入住,商务出差,4,其实入住之后，本来感觉是一般的，但没有对比就没有伤害，后来换了隔壁不远的公寓，才发觉这个原来挺不错。优点是离地铁近，安静和卫生都不错，核酸点步行7-8分钟。挺好的,2022年8月3日 发布于上海
舒适园景大床房,于2022年10月入住,独自旅行,5,住了大半个月 房间干净 服务态度好 交通便利 吃喝都方便,2022年11月27日 发布于山东
商务大床房,于2022年11月入住,商务出差,5,房间干净，位置不错，光线也好。,2022年11月10日 发布于山东
舒适园景大床房,于2022年8月入住,情侣出游,5,第一次来青岛 没想到这个酒店挺好的 卫生不错 服务也不错 交通也很便利 下一次来青岛还会考虑的,2022年9月1日 发布于山东
雅致大床房,于2022年7月入住,情侣出游,5,前台小哥非常nice，房间整洁干净，床具舒服，地理位置也非常好，离石老人海水浴场非常近，还有冰箱和洗衣机，简直超级惊喜，我们住了两天没住够邮续了一天，下次来还会住。,2022年7月8日发布
亲子家庭套房,于2022年8月入住,家庭亲子,5,房间入住的很好 离石老人海水浴场很近 而且交通也很方便 傍边就是宜家和万象汇 服务态度也蛮好的,2022年8月31日 发布于山东
舒适园景大床房,于2022年8月入住,情侣出游,5,交通很便利 附近就是地铁站和公交站 而且房间卫生也很好。入住的很满意下次再来 很好很满意,2022年9月1日 发布于山东
雅致双床房,于2022年6月入住,独自旅行,4,在一众多相同价位酒店里面算是名列前茅的存在 走一百米左右就有地铁站 交通便利楼下有便利店 总体来说不错 值得入住 但是还要说一下平台sha熟行为啊！真的很过分,2022年6月24日发布
雅致大床房,于2022年7月入住,独自旅行,5,酒店环境特别好，装修很好看，很干净，设施很齐全，地理位置很好，对面就是宜家，离石老人海水浴场地铁站都很近！ 卫生：干干净净 服务：态度特别好 交通：方便,2022年7月10日发布
雅致大床房,于2022年8月入住,家庭亲子,5,很干净，旁边设施也挺全，超市，万象汇，宜家，也比较新，每年都会来青岛，这个酒店啊第一次住，服务人员态度也不错。,2022年8月10日 发布于山东
雅致双床房,于2022年7月入住,朋友出游,5,体验特别好， 🧹卫生：非常干净 🍃环境：感觉应该是刚开业吧，环境很舒服，所有用品也都非常新，公寓装修非常现代化，很好看。 🔔服务：服务很周到，前台的小姐姐和小哥哥都非常有礼貌，每天会有服务人员进行打扫。,2022年7月5日发布
商务大床房,于2022年8月入住,独自旅行,4,房价虚高，波动太大，千万不要高价连续订几天，最好看好了价格一天天的订，不然第二天降价商家不管！,2022年8月16日 发布于山东
雅致大床房,于2022年5月入住,其他,5,碰巧在这住了一晚，酒店提供免费的停车场，停下车之后可以坐电梯直接到前台办理入住，楼层比较高视野好，采光也不错，很安静，新开业的斯维登公寓，房间装修风格比较简约，设施设备很新，房间配备洗衣机冰箱，还有微波炉，询问了前台，短租也可以，床品很舒服，睡的很好，另外出行也比较方便，不开车过来的话，旁边有2号线地铁，就在酒店楼下，非常近，晚上和朋友开车去了石老人海水浴场，大概10分钟的车程，前台的工作人员很耐心，打电话很细心的解决问题，楼下就有一家便利店，对面是宜家，下次再过来去逛逛，听说旁边马上开了万象汇,2022年5月19日发布
舒适园景大床房,于2022年8月入住,情侣出游,5,房间入住的很满意 卫生也很干净 真的很好 下次来青岛还会入住的,2022年9月1日 发布于山东
雅致大床房,于2022年8月入住,朋友出游,5,住进来的那一刻就决定给好评了，房间干净舒适，前台很热情，保洁阿姨也特别好，来玩的小伙伴可以直接冲！,2022年8月2日 发布于江苏
雅致大床房,于2022年9月入住,独自旅行,5,比较干净吧。附近的交通购物都比较方便。价格也很实惠。蛮好的,2022年9月8日 发布于山东
舒适园景大床房,于2022年11月入住,其他,4.7,从入住到离店 设施：新店，没有问题捏 卫生：除了沙发脚边缘脏一些，其他的没任何问题 环境：停车方便，就是10点以后不让进 服务：前台小姐姐们都特别好，我订的外卖都能不厌其烦的帮我送到房间，而且发信息所有的问题都能帮忙解决 我过来学习这几天入住在这，感受9成好 两个缺点就是，房卡一天一消磁，每天晚上回来都要从新换房卡，第二天小姐姐帮忙送上来的，第三天小哥哥态度不是很好，而且很不耐烦得给送上来了，弄得就跟我做错了什么一样，第二天阿姨也没有给打扫，拖鞋也没放，床单被罩你不换我不说什么，你拖鞋到是给放双啊，矿泉水瓶子也没有给扔，应该是感觉里面还有水， 整体下来都特别好，以后还会选择入住，因为公司有报销费用，我觉得性价比极高,2022年11月14日 发布于山东
雅致大床房,于2022年11月入住,情侣出游,2.5,房间倒是挺干净的 就是设施让我不太理解 1.空调调成暖风状态 半天才出暖风 2.热水器洗澡 显示水温足够的情况下 洗一半水凉了？？？？？？过后酒店回访问我 才跟我说 水温不太稳定 但为什么入住的时候没有告知我呢 导致我洗了凉水澡 现在感冒 下次不会再来了,2022年11月6日 发布于山东
雅致大床房,于2022年4月入住,商务出差,5,一进门好闻的蓝风铃香薰就征服了我，太舒服了，前台美女介绍的很详细，太有爱了。卫生非常好，酒店的很多细节都颠覆了我对公寓的了解，白茶洗手液，都是很高级的味道，超值呀，两只可乐小墩墩是送的，自从有了冰墩墩，就喜欢上了一切墩墩的造型😛😛😛,2022年4月26日发布
雅致大床房,于2022年10月入住,商务出差,5,平时一直住斯维登，正好这家是新开业的，就预定了体验一下。果然没让我失望，跟图片里看到的一模一样，卫生很干净，每天都会打扫，水、毛巾和洗漱用品都会及时添补。旁边就是万象汇，楼下很多便利店，过了马路就是核酸检测点，出行特别方便。下次住还会订这家,2022年10月31日 发布于山东
雅致大床房,于2022年8月入住,商务出差,5,房间住的很满意 出行非常方便 服务态度也特别好推荐推荐推荐,2022年8月21日 发布于山东
雅致大床房,于2022年5月入住,商务出差,5,我是真的很满意，这家是新开业的，设备都很新，干净整洁。还有全自动洗衣机很方便。这点太喜欢了。洗手液也是高级茶香。还可以坐在沙发窗边晒太阳，关键很安静的，我个人住酒店特别考虑安静的环境。能好好休息。性价比好高啊！办理入住的工作人员小姐姐太好了。礼貌细心！住到好的公寓酒店，就很治愈。下次再回来喔！,2022年5月3日发布
雅致大床房,于2022年6月入住,独自旅行,4.7,服务比较好 酒店比较新睡着比较舒服 晚上也比较安静。房间装修风格也比较精致。比较喜欢 ，就是卫生稍提升一下就好。整体感觉很好,2022年6月2日发布
雅致大床房,于2022年8月入住,商务出差,2.5,厕所超小，用品也不好，床上还出现这个。不好的体验,2022年8月15日 发布于广东
舒适园景大床房,于2022年10月入住,家庭亲子,5,斯维登精品公寓的确是公寓中的精品，客房从硬件设施到消耗品都是高品质不含糊，住起来舒服，用起来方便，卫生堪比自家，周边也安静，虽然只住了两宿，印象却十分深刻，真希望今后的旅行再遇见这样的公寓。,2022年10月13日 发布于山东
雅致大床房,于2022年7月入住,情侣出游,5,很好 前台服务很热情 房间里也很整洁 没有异味 还会再住的,2022年7月26日 发布于山东
雅致大床房,于2022年8月入住,朋友出游,5,房间住的很满意 卫生很好 服务也很好 下次还住,2022年8月4日 发布于山东
雅致大床房,于2022年8月入住,朋友出游,5,房间住的很好 卫生也很好 服务也很热情,2022年8月11日 发布于山东
雅致大床房,于2022年4月入住,情侣出游,5,🚗 交通：交通方便，辽阳东路地铁站步行3分钟 🧹卫生：很干净，毛巾浴巾都很新，床也舒服 🍃环境：楼层高，视野好，也比较安静 🔔服务：前台很热情，宾至如归,2022年4月26日发布
雅致大床房,于2022年5月入住,独自旅行,5,酒店环境特别好，装修很好看，也很干净，设施很齐全，还有冰箱和电磁炉，地理位置很好，对面就是宜家，离地铁站也很近。,2022年5月23日发布
雅致大床房,于2022年7月入住,商务出差,2.5,酒店还可以，只是服务太差，每天打扫连垃圾都不倒，烟缸永远有烟灰,2022年7月6日发布
亲子家庭套房,于2022年7月入住,家庭亲子,5,位置离地铁口很近，总体感觉不错,2022年7月31日 发布于山东
雅致双床房,于2022年5月入住,朋友出游,5,周围环境很棒，房间也很干净，酒店的设施齐全，刚进去房间有一股淡淡的香薰味，还有酒店的小姐姐服务很热情，服务态度很好，很贴心,2022年5月9日发布
舒适园景大床房,于2022年10月入住,商务出差,5,新开的店还不错，距离地铁口万象汇商场都很近，5站到石老人海水浴场，距离高速口也不远交通比较方便。楼下超市也很多，有一家青岛啤酒专卖，可以打青岛啤酒散啤，打4厂的就行😁,2022年10月22日 发布于山东
商务双床房,于2022年8月入住,家庭亲子,5,干净，去景点很方便,2022年8月10日 发布于山东
雅致大床房,于2022年5月入住,商务出差,5,简短的工作住宿，房间干净 风景很好。很适合带着家人在旅游旺季住宿。有机会还能再来。好评！,2022年5月27日发布
雅致大床房,于2022年7月入住,朋友出游,5,环境还可以 经济实惠 交通便利旁边就是地铁口,2022年7月8日发布
雅致大床房,于2022年7月入住,情侣出游,5,很棒！入住当天立马又续订两天！价格也很实惠！,2022年7月7日发布
雅致大床房,于2022年8月入住,商务出差,3,这家斯维登的位置在深圳路，对面是宜家，离海边较远，打车有时困难，房间有些小，卫生间内设施略显老旧，性价比一般。暑期的缘故，青岛酒店价格整体上涨，对于商务出差的人来说也是没办法，非暑期五六百可以住四星级酒店，现在只能住公寓房。,2022年8月20日 发布于山东
商务大床房,于2022年6月入住,商务出差,5,酒店房间卫生很棒，也很干净明亮，入住体验非常不错,2022年6月21日发布
雅致大床房,于2022年8月入住,其他,2.2,1.酒店位置还算不错的，交通也比较便利，距离地铁站就5、6分钟的时间。 2.酒店服务一般，前台人员不是很热情，但基本服务都有。 3.酒店房间整齐，但不算特别干净。其包括（吹风机插座上面有灰、毛巾上有污渍）。 4.建议：窗户按个纱窗 5.总体感受：个人觉得价格和服务不对等，性价比不是很高。,2022年8月20日 发布于山东
雅致大床房,于2022年7月入住,家庭亲子,5,在青岛一共住了3晚，这是住的最好的一个公寓，除了一个大床外阳台还有一个比较大的榻榻米，便于一家三口入住。装修挺新的，设施齐全，还有洗衣机，虽然我也不用。由于第二天房价涨了很多，就没有再续住。 公寓离石老人海挺近的，孩子每晚都要去海边，玩水，听歌，过的特别开心。打车和地铁都方便，楼下有24小时便利店，距离地铁也方便，虽然远离市中心，但打车和地铁都方便到达。,2022年8月3日 发布于山东
雅致大床房,于2022年7月入住,朋友出游,5,地铁口，出行方便，去北九水，石老人，小麦岛，五四广场都方便，去青岛北站也方便 干净卫生，有洗衣机，冰箱 服务贴心，看客人出行主动提供可乐，雪碧，还问要几瓶？ 以前我基本退房不点评的，给个好评，对全体携程会员负责，说实话。这些年一共给个一个差评，就是怡德，兼职无语。所以拒绝再入住怡德。也建议大家多多关注点评，差评多的酒店不能住，这家酒店我就看中评分高预订的，果然好,2022年7月29日 发布于山东
雅致大床房,于2022年6月入住,情侣出游,5,干净又卫生真的好！物超所值，爱了爱了,2022年6月2日发布
商务大床房,于2022年8月入住,家庭亲子,5,这家店很干净，感觉很新的样子。在夏季旅游旺季算是价格公道，周边大概步行十分钟有地铁。前台得小哥哥和小姐姐很热情，七夕入住那天给小宝宝巧克力，我每天洗衣服也会提供洗衣液。房间空调很给力，睡眠模式下既降温，又没有吹人的冷风，感觉很舒服。楼下有便利店，夜里有人卖啤酒，可以买一两斤喝，很惬意。,2022年8月16日 发布于上海
雅致大床房,于2022年5月入住,商务出差,5,出差住的真不错 🧹卫生：很好 🍃环境：很干净,2022年5月17日发布
商务双床房,于2022年12月入住,朋友出游,5,房间安静整洁，服务到位，位置很便利，周围商场地铁停车场都有，有东西落在酒店里，前台小哥还帮忙发了同城快递，很不错,2022年12月9日 发布于山东
商务大床房,于2022年12月入住,商务出差,2.5,还不如民宿，前台就是个摆设，不退房就不能提前开发票，水单不能调整，典型的业务没学会就上岗，商旅出差非常不建议住这！,2022年12月5日 发布于辽宁
雅致大床房,于2022年5月入住,商务出差,5,环境很好，位置也很方便，靠近地铁站,2022年5月24日发布
商务大床房,于2022年6月入住,商务出差,3.7,初次到青岛出差入住此酒店，家庭公寓装修一般，卫生还可以，横向比较其它联锁酒店，性价比感觉还是差了点，特别周边较偏餐饮较少，酒店没有门头下车找了几家才找到，实话实说看了网上那么多好评才订的酒店，感觉落差较大。,2022年6月29日发布
雅致大床房,于2022年6月入住,情侣出游,5,本来是打算先住两天，以后感觉很不错，所以又连续加了六天，下次还住这儿。很干净.虽然小点，但也精致，该有的都有.虽在街边，但房间窗户隔音很好，基本上没有噪音。可喜的是离地铁站很近，交通出行，非常方便。物有所值，不错👍👍👍,2022年6月25日发布
雅致大床房,于2022年5月入住,商务出差,5,环境不错，服务态度好,2022年5月9日发布
商务大床房,于2022年8月入住,情侣出游,3.5,作为暑期旺季的平价选择，整体酒店还是很不错的，位置距离地铁很近，出行比较方便。多家酒店式公寓共用的楼宇，隔音稍微有点差。房间比较干净，没有什么硬伤，值得推荐,2022年8月7日 发布于山东
雅致大床房,于2022年10月入住,情侣出游,5,酒店里很干净，进去感觉很高级，前台小哥哥服务态度非常好，手机落在房间里保洁阿姨和前台小哥一块儿帮我找回来了，好评好评好评,2022年10月12日 发布于山东
雅致大床房,于2022年6月入住,情侣出游,5,房间设施很新，地面打扫很干净。房间里有洗衣机，冰箱，还有换气扇和电磁炉，住的很方便，打开窗帘可以看到远处山景，走到附近地铁站6、7分钟左右，楼下就有便利店，不过附近饭店距离不近，总体还蛮好,2022年6月20日发布
雅致双床房,于2022年5月入住,朋友出游,5,晚上到前台打印文件 前台小哥哥特别热情业务娴熟 公寓入住很干净整洁 卫生做的很精致 有冰箱洗衣机电磁炉 楼层阿姨也很热情 点外卖也可以送进来 唯一有点小遗憾就是网络有点卡 总体来说是非常满意的一次入住,2022年5月25日发布
雅致大床房,于2022年5月入住,情侣出游,5,位置很好，前台服务也很棒啊，就是保洁阿姨，虽然每次都会敲门，但是也会直接闯入（有次午觉）。正常续住的话如果要打扫卫生，先行询问房客比较好，毕竟不是什么时候都有人回应，也不是说怕丢什么，而是有些东西该不该收拾动了也很麻烦,2022年5月23日发布
