房型,入住时间,入住类型,评分,评论,评论时间
豪华城景双床房,于2021年11月入住,商务出差,5,酒店位置很好，处于青岛金融中心。,2021年11月20日发布
精品城景大床房,于2021年10月入住,商务出差,5,很不错，店员帮忙升级海景房，很舒服。,2021年10月18日发布
豪华城景大床房,于2022年1月入住,朋友出游,5,挺好的 比较干净 性价比高,2022年1月13日发布
豪华城景双床房,于2022年2月入住,商务出差,5,非常好，下次还会光顾！,2022年4月2日发布
豪华海景双床房,于2022年8月入住,朋友出游,5,服务热情周到,2022年8月4日 发布于山东
豪华海景双床房,于2020年12月入住,商务出差,5,屋子挺大的，装修的也很精致，各种设备一应俱全，吹风机洗衣机微波炉电磁炉等等要啥有啥，前台服务也很好，真不错👍🏻,2020年12月29日发布
精品城景大床房,于2022年8月入住,独自旅行,4.5,出行方便快捷,2022年10月24日 发布于天津
精品城景大床房,于2020年7月入住,家庭亲子,5,酒店非常好,2020年7月10日发布
豪华城景双床房,于2021年9月入住,情侣出游,4,房间宽敞，设施齐全，海景漂亮，环境干净,2021年10月1日发布
豪华海景大床房,于2021年12月入住,家庭亲子,5,外卖不能送上楼 其他还算方便,2022年1月13日发布
精品城景大床房,于2021年1月入住,商务出差,5,挺好的啊，还不错挺好的啊，还不错。挺好的啊，还不错挺好的啊，还不错。挺好的啊，还不错挺好的啊，还不错。,2021年1月6日发布
精品城景大床房,于2021年5月入住,商务出差,5,酒店环境不错，价格实惠，位置也不错，附近商场景点都有，非常方便。,2021年6月17日发布
豪华城景大床房,于2021年1月入住,商务出差,4,环境还是不错的，就是没有免费停车场。 到店需要先烧洗澡水，要不晚上没水洗澡了。 其他方面很不错，推荐,2021年1月8日发布
精品城景大床房,于2022年4月入住,情侣出游,5,夜景不错，值得推荐,2022年4月7日发布
精品城景大床房,于2020年1月入住,商务出差,5,房间干净，给我一大老爷们整了一个海绵宝宝和派大星，挺温馨的海景房，家具家电配置很齐，很不错，价格还不贵，下面的早餐店就餐很方便，便宜实惠，美中不足也得提一下：门底透风，隔音也差点事，走廊里充斥着情侣发出的声音，太清楚了，从这点来讲，不大适合孩子,2020年1月6日发布
精品海景大床房,于2020年7月入住,商务出差,5,时隔一年来住同一个酒店，感觉还是那么好哇~！超级无敌海景就不用说了，难得的是一年后再来住，酒店房间的干净、舒适度依旧，并没有因时间过去、或者疫情影响而有懈惰或降低，客房人员每天打扫的很干净，非常好~！！,2020年7月13日发布
精品城景大床房,于2020年1月入住,其他,5,因为疫情原因延迟开班，所以在酒店一直居住，因为山景稍冷，给免费升级海景，温馨干净，疫情防护也做得很好，景色很美楼下就是星光里，奈何疫情原因，都没有开门，总之很不错的。,2020年3月8日发布
精品城景大床房,于2022年6月入住,商务出差,5,出差一直住这里,2022年6月10日发布
精品城景大床房,于2021年3月入住,商务出差,3.5,协信楼的卫生还需要加强，屋里的边边角落需要打扫干净，地面需要扫，头发等毛发等等,2021年4月17日发布
精品城景大床房,于2022年3月入住,朋友出游,5,酒店服务好 卫生干净,2022年3月29日发布
豪华城景双床房,于2020年12月入住,商务出差,5,超喜欢的房间设施，跟外部环境，房间打扫的非常干净，去的比较早正好看到大姐在那打扫房间，非常认真仔细，而且很多东西都是消毒的，用起来非常放心，在说下服务，前台小姐姐非常热情，有问题很快的就给解决了，我经常出差住酒店，本人感觉事挺多的哈哈，但是这家酒店真的给我留下非常深的印象，一个字就是好呀，而且免费提供过弯可以做饭，这次事出差没办法体验，等下次去带家人好好的体验体验,2020年12月26日发布
豪华海景双床房,于2022年8月入住,家庭亲子,4.5,推拉门坏了,2022年9月13日 发布于陕西
豪华海景大床房,于2021年4月入住,其他,5,房间很大，距海边和地铁站大概都是10分钟，楼下就是711，很方便！！,2021年4月13日发布
精品城景大床房,于2020年10月入住,商务出差,5,一个经常出差的人来说，找个合适的酒店太重要了，一不小心被我找到拉。蓝朵真的没的说，服务，位置，设施，景色全部都满分，真的非常喜欢这。,2020年10月22日发布
豪华海景大床房,于2021年11月入住,商务出差,5,环境挺好，服务很好，房间很大,2021年11月28日发布
精品城景大床房,于2020年3月入住,独自旅行,5,周围环境在商务区里，周边商场多，餐饮应该也比较多，离海边几百米，溜着玩就到了，楼层挺高，景色很好,2020年3月13日发布
豪华海景大床房,于2021年4月入住,其他,5,位置好，离地铁离海边也不是很远，吃饭方便。环境也不错，下次来还住这,2021年4月13日发布
精品城景大床房,于2022年7月入住,商务出差,5,很好 一直住,2022年7月10日发布
精品海景大床房,于2020年4月入住,商务出差,5,酒店不错，干净卫生，还能看海景，各种家庭设施都有！,2020年4月25日发布
精品城景大床房,于2022年2月入住,其他,5,环境不错，房间很安静,2022年2月27日发布
雅蓝· 商务大床房,于2022年10月入住,商务出差,5,位置好找 有停车场 但是车位紧张 房间不大 不过挺干净 床挺舒服的 给升级了房型 去石老人很近 边上是星光里 有吃的地方,2022年10月25日 发布于山东
锦蓝· 豪华双床房,于2022年8月入住,朋友出游,1,#首先我不明白这个酒店为什么评价这么高？凭什么得到的？ #接下来要说的事第一感觉，自由行也有十三四年了，有史以来第一个四点45还没有收拾出房间的酒店，我是五天前订的。 然后要求12点前必须退房，那您四个多小时服务员干嘛去了？ #第二，咱说说服务，前台的二位男士服务态度都不咋样，爱答不理的，退房的时候倒是各种催辛勤的很。 #第三，想说设施，洗手台在床旁，导致本就潮气腾腾的被褥更湿润。 香皂是上位房客用过的再塞进去。 厕所和浴室虽是分开的，但是中间隔的是玻璃，还没帘子，有何意义？ 门的安全锁是坏的。 看似智能的按键灯控，你会时不时打不开或者关不上。 所谓的中央空调，智能制冷不能除湿。 楼道大堂都很凉，唯独电梯间巨热无比。 高级的智能马桶藏污纳垢。 满屋子都是卫生死角，眼见的灰尘。 有根晾衣棍，但是没有一个衣架。 床太软，睡得太累了。如果腰椎有问题，一定绕行。 #客观的说，酒店位置还不错，去海边或者吃饭都很方便，仅此而已。 PS:如果能给负数我一定客观的给负分！ 店家请不要给我打骚扰电话，我是客观评分，不会随意改的。,2022年8月5日 发布于山东
梦蓝· 经济大床房,于2022年9月入住,情侣出游,5,小姐姐人真的很好，因为经常住还帮忙我们升级了房间～！ 房间一如既往的好，地理位置什么的一如既往的很优越！去哪都很方便,2022年9月17日 发布于山东
雅蓝· 商务双床房,于2022年10月入住,情侣出游,5,很不错很好 服务也很好 卫生也不错 住的很满意,2022年10月23日 发布于山东
梦蓝· 经济大床房,于2022年6月入住,其他,3,🚗 交通：免费停车场！ 🧹卫生：暂且不论，毕竟价格不高！ 🔧设施：订了四间一样的房间，其中三间房间设施尚可，图片所示另一间，面积极小，床不及一米八，百叶窗拉不下来，淋浴喷头耷拉头，洗澡要蹲着，只有一个充电孔。 🔔服务： 1、入住当天其中一间房卡未制好，打不开门； 2、次日早晨咨询前台早餐价格，结果用餐时发现不一致，与前台核实，告知早已涨价，解释说早就涨价，刚来小孩不知道……编瞎话能走点心不？就是告诉我今天刚涨价也能接受啊！ 3、因为设施的问题我们反馈给了一位店长，经协商续住的房间可以给升级，态度很好接受了提议，就在换房的过程中，询问前台是否有临近的房间，（没有直接表达如果没有就不用换了，也没想到她说查一下就直接换过去）她说查一下然后没有回复，差不多等了两分钟给了两张卡，明显不挨着，问她为什么没有临近的不告知，结果旁边一位姐姐的嗓门比我还大，说在一个楼层，注意⚠️整个三楼一个圈都是房间，订了5间房分布在半个楼， 以上真实体验凭心而论，初衷没打算给差评，丧丧那个大脸实在不能接受！往回走还听见特别响摔东西的声音！不知道酒店监控带不带录音，核实一下就知道，最好能告诉我她摔的啥那么响。,2022年6月12日发布
怡蓝· 复式家庭房,于2022年6月入住,家庭亲子,3.2,首先我要感谢那位带我看房间的小哥，不知道贵姓啊，应该是3号值班前台的那位，真的很热情，很有耐心，我是儿子高考要订房间，所以真的会仔细一点的，但是这位小哥真的不厌其烦，让我感觉很温馨。然后就是6号入住，下午前台的两位女的服务员啊，说不出什么感觉，真的给我的感觉很糟糕，口气生硬，态度冷漠，不应该是酒店前台应该有的态度，跟那个小哥比较差了不是一个档次啊，有些话，不是应该当着我一个住店的客人说的！！！最后是退房，我是可以享受延迟退房的，不到十二点就来电话，跟我说酒店规定十二点退房，如果你跟携程的合作不算数，你可以不要在携程上有这个权益。如果不是儿子三点半还有一场考试，我应该也不会两点退房的！！！这个也是六日住店的那个前台服务员。 关于早餐，我看房间时说送我早餐卷，而且告诉我15一位，仅过了两天，不送早餐卷了，跟我说谁送的，谁买单，而且28一位，因为住店的客人多了。 每天送的早餐，我不要了，我不差这一顿早餐的钱！ 住了三天，就是那位小哥让我感到还不错，是因为他的热情，他对工作的态度，其余的还好，最差前台这两位女士啊，让我感觉很不舒服。他们的服务态度，让我感到不应该是酒店人该有的态度！,2022年6月10日发布
雅蓝· 商务大床房,于2022年8月入住,朋友出游,5,环境还可以，离石老人海水浴场挺近的。 服务员挺好的。 临时给我升了大窗房，只是这窗户需要擦了🙄,2022年8月28日 发布于湖北
怡蓝· 复式家庭房,于2022年7月入住,家庭亲子,5,在那个位置算是性价比不错的酒店了。住了个家庭房，一家四口睡着比较舒服。离石老人海水浴场很近，走着即可。还有个美妆镜，哈哈。,2022年8月2日 发布于山东
雅蓝· 商务大床房,于2022年10月入住,情侣出游,5,很不错很好住的很满意,2022年10月30日 发布于山东
怡蓝· 复式家庭房,于2022年7月入住,商务出差,5,很好很适合旅游住处，值得推荐，大家一起看看住住👍…… 环境：好 交通：方便 卫生：好 服务：很好 点赞👍👍👍👍👍👍👍👍,2022年8月14日 发布于云南
锦蓝· 豪华大床房,于2022年7月入住,情侣出游,4.7,酒店离石老人海和啤酒节展区都很近，交通便利，周边小吃也很多，酒店很有设计感，就是隔音有待加强,2022年7月31日 发布于北京
锦蓝· 豪华大床房,于2022年7月入住,其他,4,海边，交通方便，酒店只有二、三两层，一楼有对外的饭店。硬件设施很好，但但发现床单、枕套没换，和前台沟通，及时换了房间。,2022年7月3日发布
梦蓝· 经济大床房,于2022年7月入住,商务出差,5,总体感觉满意。酒店位置好，交通方便，去石老人海水浴场走路10分钟，周边有三个商超，吃饭方便。酒店里餐厅的烤肉不错。,2022年7月3日发布
雅蓝· 商务大床房,于2022年8月入住,朋友出游,5,前台小哥哥们都很热情，酒店很漂亮，房间很整洁，位置超好,2022年8月26日 发布于山东
锦蓝· 豪华双床房,于2022年7月入住,家庭亲子,1.5,环境卫生真得没得说啊！一股味道真心不会选择下次。停车还收费,2022年8月1日 发布于山东
梦蓝· 经济大床房,于2022年7月入住,情侣出游,1.7,这个层高我惊呆了，要是提前说明我就不定了，住了两天，第二天直接没热水了..六批,2022年7月10日发布
悦蓝· 温馨大床房,于2022年7月入住,家庭亲子,2.2,所谓高档酒店，就是烂乎乎的浴巾，加上没法开窗的房间。,2022年7月31日 发布于山东
梦蓝· 经济大床房,于2022年2月入住,独自旅行,3,酒店位置非常好，在石老人浴场。附近比较适合旅游团和会议。酒店客房装修风格工业风。价格适中，为一般快捷酒店水平。设施还是比较现代的。无窗房比较黑暗，有墙皮脱落，卫生死角等现象，凑合着住，还算可以。酒店前台服务一般。餐厅好像是独立经营的，服务还不错。早餐如果不在房费内，需要自付16元。,2022年2月20日发布
梦蓝· 经济大床房,于2022年6月入住,商务出差,5,酒店装修很时尚，设施设备配套也很完善，服务很到位，十八的早餐性价比也很高。商务出差很适合。,2022年6月10日发布
梦蓝· 经济大床房,于2022年6月入住,其他,5,第二次入住了，环境还是那么熟悉安静温馨，有种回家的感觉，谢谢酒店工作人员的热情接待！点赞！,2022年6月9日发布
瑞蓝· 影音大床房,于2022年7月入住,商务出差,5,服务非常好，环境很干净靠近是老人,2022年10月18日 发布于山东
梦蓝· 经济大床房,于2022年8月入住,商务出差,2,这是最差的住宿体验了。晚上九点多点到的酒店，结果发现门锁是坏的，师傅上来看了一下，说工程部没人修不了。给我们换了个特别小的房间，没同意。然后又给我们换了一个，结果床单有洞有头发，等了半个多小时给我们换了新的床单被罩。头发是前台经理在的时候发现的，不然都说不清...马桶没洗干净，床头灰层多...我们实在太累了懒得换酒店，结果折腾了一晚上。我们理解保洁大叔晚上只有他自己一个人忙不过来，但是酒店确实要整改提高安全卫生意识！,2022年8月9日 发布于河北
悦蓝· 温馨大床房,于2022年8月入住,独自旅行,2,一家酒店分两栋楼，说好听一个高档一个低档，说难听点价格差别不大，就是圈钱。服务差的不是一点，开房必须分开，退房就可以一个人完成，奇葩。服务态度不是一般的差，爱答不理，拿个停车卡，感觉像骗他们钱一样。几百块钱的房间费感觉不值。,2022年8月7日 发布于山东
雅蓝· 商务大床房,于2022年8月入住,朋友出游,1,卫生：洗澡垫上面全是黑乎乎的脏东西 不知道是没刷就放进来了还是一直就这样 床单和被微潮 房间里一股潮味儿 窗户不能打开 采光也不好 一楼大厅是餐厅 一进门就一股油烟味和菜味 服务：到的当天 酒店接待一脸不情愿 排队给了身份证不给办入住还要上其他接待那里重新弄 态度也极其不好 一直很不耐烦 也不回答问题 早餐每天都是那几个菜没变过 全是素菜 总之这次体验感很不好 下回不会再来,2022年8月10日 发布于辽宁
雅蓝· 商务大床房,于2022年8月入住,朋友出游,2,前台服务员、楼层服务员服务态度很差，下午3点了房间迟迟打扫不出来，办不了入住，楼层碰到服务员想多要一瓶水，语气很不好的告知收费，酒店像筒子楼，暗窗，房间不大，烟味浓烈，离海边不远不近，不推荐。,2022年8月9日 发布于北京
梦蓝· 经济大床房,于2022年7月入住,商务出差,1.7,房间和酒店怎么形容呢？压抑（楼底太低了），杂乱（布局很不合理），大爷（前台的服务员大爷一般，我退个房还要杵着等他处理一大堆其他的事儿，而且当我透明一般，招呼也不打一个），本来都没打算评价，但既然作死邀请我评价我就客观真实地给你个评价吧！,2022年10月16日 发布于福建
梦蓝· 经济大床房,于2022年7月入住,家庭亲子,5,假期带考完试的小朋友出来玩，入住体验非常棒！下了高速导航过来非常方便，也有自己的停车场，附近有几个大型的shopping mall，逛吃逛吃很nice！带小朋友去看看博物馆看看，大剧院听了一场音乐会，假期时间丰富又有趣。 酒店内卫生干净，装修风格简约大方，遇到的服务员也热情大方，很好,2022年7月4日发布
怡蓝· 复式家庭房,于2022年7月入住,家庭亲子,4,先说两点优点吧，第一楼下可以就餐，比较方便，味道还不错；第二离着石老人海水浴场、金狮广场等比较近，在金家岭金融中心这里。除此之外，房型比较一般，房型设计更是让人无语，房间面积不小，但是储物架、衣柜、隔板等储物功能几乎没有，只有门口一点可以挂衣服的，而卫生间更是让人无力吐槽，马桶和淋浴之间竟然是透明玻璃，情侣俩的还能接受，但如果是一家三口或者四口人住复式的，非常不方便，还有就是淋浴区几乎没有悬挂功能，洗完澡要出来盥洗区擦身子、穿衣服，而盥洗区直接和睡觉、休息等功能区连在一起，几乎一点隐私都没有！一晚上700多的价格，住这么个酒店，也就只有这一次了，吃一堑长一智，希望我的评价能对各位即将入住的起到一些作用，附近很多公寓酒店，其实价格也有不少相近的，真的要精挑细选！,2022年7月17日发布
君蓝· 高级大床房,于2022年5月入住,代人预订,4,外地来的客人，离石老人浴场很近，客人很满意,2022年5月18日发布
梦蓝· 经济大床房,于2022年6月入住,朋友出游,5,真的很不错！在石老人这边能住到这么实惠的酒店真的很惊喜，和金狮广场、地铁站、石老人海水浴场都隔得很近，出行很方便。定的大床房，房间很干净，还是智能马桶，设备啥的都挺新的，就是房间的灯有点坏了，不过也没多大问题，推荐！,2022年8月22日 发布于四川
梦蓝· 经济大床房,于2022年10月入住,情侣出游,5,房间不错，隔音各方面都挺好，缺点是卫生间花洒会滴冷水，洗澡的时候挺难受，感觉卫生不是很到位，淋浴间甚至有上一个客人剩下的牙膏,2022年10月30日 发布于山东
梦蓝· 经济大床房,于2022年10月入住,独自旅行,5,大床房房间很大很宽敞，干净整洁，隔音效果也好。酒店所在的地理位置也不错，离石老人、金狮广场和苗岭路地铁站都不远。这配置对得起价格,2022年10月3日 发布于山东
瑞蓝· 影音大床房,于2021年12月入住,商务出差,3.5,房间床还可以睡着舒服，厕所的洗浴液还挺香，其他的就一般水平吧。房间非常不隔音，打个喷嚏隔壁都能听见，早餐味道很一般，样式也很少，没什么可吃的。房间的投影仪很鸡肋，各种卡，不好用，声音还吵。有个体验不好的地方就是只要拔卡了，重新插卡就得重新再把灯按一遍，灯也没有总控灯（一键全开的那种）就很麻烦,2021年12月12日发布
怡蓝· 复式家庭房,于2022年7月入住,家庭亲子,2,首先前台服务态度比较差，复式房间完全封闭的，没法通风。楼梯的把手是晃得，很不安全。关键马桶，虽然是智能马桶，但是那个冲水的声音大的把人吓坏，夜里不敢上厕所。,2022年7月31日 发布于山东
君蓝· 高级大床房,于2022年5月入住,朋友出游,2.5,在这家住了无数次了 但这次真的很不满意 我们定的第一个房间进去以后其中一个主灯是坏的 打不开 沟通后换了第二个房间 结果睡觉前发现床头柜的一侧粘着以前顾客留下的口香糖 太恶心了 今天退房前到前台反应了这个问题 前台的男服务员听完我说的直接摆烂 一句话不回答我 甚至连句抱歉和解释都没有 还有 今天早上八点开始两个打扫附近房间的女服务员边打扫边大声嘻嘻哈哈的聊天 吵的根本睡不着,2022年5月22日发布
怡蓝· 复式家庭房,于2022年5月入住,家庭亲子,4.2,外地旅游离海近，家庭房这个性价比还不错旺季价格不清楚，复式落地窗只能看见对面房间的窗，打开窗帘都尴尬，设施齐全，入驻那天的夜班小伙态度不怎么样了，Wi-Fi问了才说，好像考验你速记，停车位满了，问一下哪能停车直接说不知道，白天前台换了还挺好。,2022年5月16日发布
梦蓝· 经济大床房,于2022年9月入住,商务出差,3,入住两天， 第一天是别人给我订的，我自付，一再询问胖胖的前台女孩子，携程会不会便宜点，网上能不能订， 她含糊其辞说没窗的都要198 反正就是我这个有窗的238算便宜了。 当天晚上很急，所幸我就给了，入住后 我在携程看， 无窗 86 元，第二天我找第二个服务员入住无窗的，86房型跟238一样大， 真的是抓住我们外地的就是 宰！胖胖女孩子真是坑。,2022年9月15日 发布于山东
梦蓝· 经济大床房,于2021年11月入住,商务出差,5,出差入住该酒店，总体感觉非常好，很干净，自助餐品种挺丰富，我无意间说了句，今天我生日，没想到，酒店竟然给送上了小的生日蛋糕，太暖心了！酒店附近有大型超市，离海边也很近，总之这次住的很舒心，推荐！,2021年11月15日发布
雅蓝· 商务大床房,于2022年1月入住,商务出差,1,心舍心宿设施太旧，花洒漏水，不喷水，太冷天真是折磨人！好在可以取下直喷！没窗我就不说了，房间灯光又暗，设计又不合理。,2022年1月11日发布
梦蓝· 经济大床房,于2021年11月入住,朋友出游,5,退休了没事出来游玩，住青岛颐蓝心舍，这个酒店让我觉得既卫生又温馨，有种宾至如归的感觉，每次来青岛都会选择来这里住，饭菜品种多又可口。离海边又近，昨天天气温暖如春，去海边享受一下海滩阳光……,2021年11月16日发布
梦蓝· 经济大床房,于2022年6月入住,情侣出游,4.5,🍃环境：房间户型有点奇怪，层高比正常的酒店要低不少，会让人觉得有点压抑。房间里配备投影仪，但是不太好使，基本上不能用。网络不是很好，无论是无线还是手机信号都不太好。,2022年6月26日发布
梦蓝· 经济大床房,于2022年9月入住,其他,1,房间环境是真的差，刚进房间有股死老鼠的味道，因为是十一点半入住的，打前台电话一直占线没人接，太垃圾的一次提现,2022年9月30日 发布于山东
锦蓝· 豪华双床房,于2022年9月入住,商务出差,1,服务太差了，矿泉水两瓶喝完了，需要自己买，点的外卖需要自己下来大厅拿，有机器人可以送餐，说是坏了，不愿意安排,2022年9月26日 发布于山东
雅蓝· 商务双床房,于2022年8月入住,朋友出游,5,挺好的居住环境，安静，出行方便。早餐价格合理，食材很好，服务态度也很好。我挺喜欢这家酒店。推荐一下，以后我也会选择这家酒店。,2022年8月16日 发布于山东
梦蓝· 经济大床房,于2021年11月入住,独自旅行,5,性价高，地理位置好，四周全是景区，交通还特别发达，出门两分钟就到地铁站，想去哪不用为坐车发愁，周围购物也方便，房间干净整洁，人流量大，前台小姐姐们服务很好，热情主动,2021年11月17日发布
梦蓝· 经济大床房,于2021年11月入住,情侣出游,5,酒店设施齐全，服务很贴心，交通便利，去崂山、八大关、五四广场等景点有直达的地铁，都在香港东路上，很是方便。有机会会带着孩子和老人在此入住。,2021年11月15日发布
雅蓝· 商务大床房,于2022年2月入住,商务出差,5,位置优越服务佳 智能马桶点双赞,2022年2月22日发布
梦蓝· 经济大床房,于2021年11月入住,商务出差,5,因为出差所以定了这个酒店，非常高大尚…每一个角落都能拍出明信片的感觉…酒店服务人员也都非常的热情…在这里我们住的非常的舒心！,2021年11月16日发布
君蓝· 高级大床房,于2022年9月入住,其他,1.2,图片看着挺干净，实际房间环境很差劲。房间页面显示有智能马桶，实际也没看到。并且房间连个扫码充电器也没有,2022年9月4日 发布于山东
梦蓝· 经济大床房,于2021年11月入住,商务出差,5,非常满意的一次入住体验。之前出差住过一次，交通，环境，卫生，服务都不错。下次休假来青岛游玩要带孩子一起来。,2021年11月15日发布
梦蓝· 经济大床房,于2021年11月入住,情侣出游,5,酒店环境很好…客房大姐非常热情…小机器人也很可爱…真的是一家很不错的的酒店…推荐大家都来住,2021年11月15日发布
怡蓝· 复式家庭房,于2022年12月入住,朋友出游,1,打电话无人接听，房卡能开门但是屋内断电连灯都开不了，下次不会再去了,2022年12月6日 发布于山东
梦蓝· 经济大床房,于2021年10月入住,商务出差,5,好久没来了这家店，这次开会过来发现不一样了，应该换人了，很干净，有序，不错，早餐也改变了比以前好多了 🧹卫生： 🔔服务：,2021年10月15日发布
梦蓝· 经济大床房,于2022年6月入住,朋友出游,5,酒店离地铁站很近 卫生也很好 性价比很高 点外卖是机器人送上楼真的很不错！隔音也挺好滴 除了离青岛市区有点远其他没啥可挑了,2022年7月31日 发布于江苏
雅蓝· 商务大床房,于2022年2月入住,其他,4,总体来说还可以，中间出现一些问题虽然麻烦点，也都算解决了。房间装修的不错，灯光比较暗，卫浴分离。比较反感的是一口一个升级了房间，携程上写的门清房型什么样，面积多大，说实在的升级没升级大家心里都门清。,2022年2月14日发布
梦蓝· 经济大床房,于2021年11月入住,商务出差,5,酒店位置很好，离地铁站很近，房间装修卫生不错，前台小姐姐的服务态度很好。,2021年11月17日发布
雅蓝· 商务大床房,于2021年10月入住,家庭亲子,5,晚上到的，酒店灯光很好很有设计感，更好玩儿的是还有点的外卖还有机器人送餐，让小朋友们开心的不得了，挺好的，推荐,2021年10月15日发布
雅蓝· 商务大床房,于2021年7月入住,情侣出游,3.7,这个酒店性价比很高 价格很便宜 还有早餐早餐很好吃 也很丰盛 唯一不满的是当时入住的厕所 一冲马桶就往外喷水 以为那个自动马桶不太好 然后朋友一起住在另外一个房间 他们马桶就没事…… 哎 太惨了 这个马桶让我有心理阴影 一冲喷水喷的到处都是 要盖着才行 其他对酒店挺满意的 房间很宽敞 地理位置也不错 离铭记点心很近,2021年11月16日发布
雅蓝· 商务大床房,于2022年4月入住,独自旅行,5,很好 🍃环境：可以 🚗 交通：方便便利 🧹卫生：干净整洁 🔔服务：前台服务很热情！！ 真的非常好 性价比很高！值得推荐靠近海步行很快就能到！！真的很好！！,2022年4月22日发布
怡蓝· 复式家庭房,于2022年7月入住,家庭亲子,4,整体还是非常不错的。离广场很近，可以随时参加啤酒节。唯独半夜下楼梯时候动静有点大，影响其他人睡觉。,2022年8月4日 发布于内蒙古
梦蓝· 经济大床房,于2022年5月入住,商务出差,3.5,🚗 交通：不错 🧹卫生：不错 🍃环境：还行 🔔服务：可以 房间Wi-Fi特别差 入住两天全都是用自己流量 用了7个G,2022年6月1日发布
梦蓝· 经济大床房,于2021年11月入住,商务出差,5,入住酒店了期间，服务相当满意，周围环境优美。,2021年11月16日发布
悦蓝· 温馨大床房,于2022年5月入住,商务出差,4.2,不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错,2022年6月19日发布
雅蓝· 商务大床房,于2021年7月入住,家庭亲子,5,酒店很宽敞很干净，位置离石老人浴场不远，步行可以到，就是为了离得近，方便晚上去海边走走订的这家～房间很大很宽敞，我不喜欢那种很小的很窄的，其次酒店有早餐，早上起来可以慢悠悠的吃个早餐再出去玩，除了去石老人方便，离地铁站也很近，去五四广场都没问题～,2021年7月9日发布
梦蓝· 经济大床房,于2022年9月入住,独自旅行,4,工作人员服务态度好，就是房间灯光有点暗，希望酒店能少做改进其他地方都还不错,2022年10月8日 发布于山东
梦蓝· 经济大床房,于2021年11月入住,商务出差,5,交通便利，价格划算，住着舒服，下次还会来,2021年11月15日发布
梦蓝· 经济大床房,于2022年7月入住,商务出差,5,酒店环境不错，离海边步行十分钟的路程，自助早餐品种丰富，服务热情周到。棒棒哒，下次来还入住这个酒店！,2022年7月12日发布
悦蓝· 温馨大床房,于2022年9月入住,朋友出游,5,非常棒的一次体验。前台小姐姐也非常亲切。酒店的设施很大气卫生也挺好。,2022年10月10日 发布于江苏
悦蓝· 温馨大床房,于2022年5月入住,商务出差,5,环境非常好，酒店的空间很大，洗手间干湿分离做的很不错。而且点外卖可以机器人送到门口很便利。旁边就是地铁站交通很便捷,2022年6月3日发布
雅蓝· 商务双床房,于2022年8月入住,家庭亲子,5,酒店很好，房间很大，环境很舒服。离地铁站有一点距离，但是步行还可以接受，早餐很给力,2022年8月21日 发布于广东
梦蓝· 经济大床房,于2021年12月入住,商务出差,4.2,地理位置还是不错的，苗岭路地铁E出口。但是房间不都是一样的，有的很小，没有书桌。有点还在阁楼上。这个就有点尴尬了。但是出差的话，还是可以的。周边没有什么早餐店。但是有个shopping mall可以去逛逛,2021年12月19日发布
雅蓝· 商务大床房,于2021年12月入住,情侣出游,4.5,环境很不错 安排的房间挺大的 但是 洗澡没有热水 然后调整房间 但是早上八点敲门问我要不要退房是什么鬼 又被吵到 早上八点一直敲门 说'自己是服务员 问我们要不要退房 无语死了,2021年12月14日发布
雅蓝· 商务大床房,于2021年7月入住,情侣出游,4,位置在崂山比较方便的地方，节假日的性价比比市南区高太多，前台小哥哥免费赠送了早餐，房间整洁干净，就是窗子不通风，其他都不错,2021年8月3日发布
雅蓝· 商务大床房,于2021年12月入住,商务出差,4.7,🚗 交通：交通很方便 离地铁🚇很近 🧹卫生：很干净 🍃环境：很舒适 🔔服务：很周到 就是洗澡水不太热，这大冬天冻死我了 还有灯不太合理 太暗了 没办法办公 马桶冲力不太够 有的时候会冲不干净,2021年12月14日发布
雅蓝· 商务双床房,于2022年7月入住,家庭亲子,5,有免费停车场，一楼就是餐厅，哈完啤酒上楼睡觉!楼道隔音稍微有点差，失眠患者需要耳塞,2022年7月28日 发布于山东
雅蓝· 商务双床房,于2021年7月入住,其他,5,环境很好，非常舒服的体验，服务态度也非常好，早餐很丰富，因为带着孩子，又多给了一份早餐，离石老人非常近，下次去青岛还会住这,2021年8月3日发布
梦蓝· 经济大床房,于2022年6月入住,其他,5,酒店的位置好，离石老人海水浴场步行十来分钟。酒店干净，酒店外面有免费的停车场，对自驾来的人比较友好。,2022年6月17日发布
梦蓝· 经济大床房,于2022年7月入住,独自旅行,5,前台服务很到位，前台小哥哥，小姐姐都很nice，房间干净卫生配备也很齐全，餐吧氛围很好，吃饭喝茶都挺好，下午一个人安静的喝喝茶，看看书享受一下难得的自由，晚上和几个朋友小酌了几杯，也很舒服，整体感觉很喜欢,2022年7月6日发布
梦蓝· 经济大床房,于2022年7月入住,其他,1,前台服务态度太差，从头到尾没看到正脸，房卡甩在面前，体验真的很差，没有制度可言,2022年8月20日 发布于山东
君蓝· 高级大床房,于2021年7月入住,家庭亲子,5,🚗 交通：便利。靠近石老人海水浴场，边上就是饭店 🧹卫生：干净整洁 🍃环境：安静 🔔服务：满意,2021年8月2日发布
瑞蓝· 影音大床房,于2021年7月入住,朋友出游,3.7,3D赢影音房间只能看电视各位！不能看电影！不能看手机投屏！比别的房间贵一百！！被坑了，住三天，投影都没法看！！,2021年7月19日发布
